sLevel;sCode;sName;sQuadri;sPeriod;sCharge;pName;pPeriod;pCharge;pQuadriSabbath
G;NA2MCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;NOTURNO;3;FRANCISCO JAVIER ROPERO PEL·EZ;NEGOCI·VEL;18;Q2
G;DAMCTA008-17SA;COMPUTAÁ„O GR·FICA;Q3;DIURNO;4;JOAO PAULO GOIS;NEGOCI·VEL;18;Q2
G;NAMCTA008-17SA;COMPUTAÁ„O GR·FICA;Q3;NOTURNO;4;WAGNER TANAKA BOTELHO;NEGOCI·VEL;18;Q2
G;DA1MCTA024-13SA;SISTEMAS DIGITAIS;Q2;DIURNO;4;JAIR DONADELLI;NEGOCI·VEL;18;Q2
G;DA2MCTA024-13SA;SISTEMAS DIGITAIS;Q2;DIURNO;2;ROGÈRIO PERINO DE OLIVEIRA NEVES;NEGOCI·VEL;18;Q2
G;NA1MCTA024-13SA;SISTEMAS DIGITAIS;Q2;NOTURNO;4;NUNZIO TORRISI;DIURNO;18;Q2
G;NA2MCTA024-13SA;SISTEMAS DIGITAIS;Q2;NOTURNO;2;ANDRÈ LUIZ BRAND„O;NEGOCI·VEL;18;Q2
G;NA3MCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;NOTURNO;4;CL·UDIA JOSIMAR ABR„O DE ARA˙JO;DIURNO;18;Q2
G;NA4MCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;NOTURNO;4;JOAO PAULO GOIS;NEGOCI·VEL;18;Q2
G;NA1MCTA037-17SA;BANCO DE DADOS;Q3;NOTURNO;1;RAPHAEL YOKOINGAWA DE CAMARGO;DIURNO;18;Q2
G;DAMCZA010-13SA;LABORATÛRIO DE ENGENHARIA DE SOFTWARE;Q3;DIURNO;4;DENISE GOYA;NEGOCI·VEL;18;Q2
G;NA1MCTA016-13SA;PARADIGMAS DE PROGRAMAÁ„O;Q2;NOTURNO;2;FABRICIO OLIVETTI DE FRANÁA;DIURNO;18;NENHUM
G;DAMCZA005-17SA;BANCO DE DADOS DE APOIO ‡ TOMADA DE DECIS„O;Q2;DIURNO;4;DANIEL MORGATO MARTIN;NEGOCI·VEL;18;Q1
G;NAMCZA028-13SA;SISTEMAS MULTIAGENTES;Q3;NOTURNO;4;FABRICIO OLIVETTI DE FRANÁA;DIURNO;18;NENHUM
G;DAMCTA007-17SA;COMPILADORES;Q2;DIURNO;4;CESAR GIACOMINI PENTEADO;NEGOCI·VEL;18;Q3
G;NA1MCTA007-17SA;COMPILADORES;Q2;NOTURNO;4;ANDRÈ BALAN;DIURNO;18;Q3
G;DA1MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;DIURNO;2;LUIZ ROZANTE;NEGOCI·VEL;18;Q1
G;DA2MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;DIURNO;2;DANIEL MORGATO MARTIN;NEGOCI·VEL;18;Q1
G;NA3MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;NOTURNO;2;MONAEL;DIURNO;18;Q3
G;NA4MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;NOTURNO;2;JULIANA;DIURNO;18;Q1
G;NAMCZA016-15SA;GEST„O DE PROJETOS DE SOFTWARE;Q3;NOTURNO;4;GORDANA MANIC;NOTURNO;18;NENHUM
G;DAMCZA019-17SA;PROGRAMAÁ„O PARA WEB;Q3;DIURNO;4;LUIZ ROZANTE;NEGOCI·VEL;18;Q1
G;DAMCZA020-13SA;PROGRAMAÁ„O PARALELA;Q1;DIURNO;4;CL·UDIA JOSIMAR ABR„O DE ARA˙JO;DIURNO;18;Q2
G;DAMCTA010-15SA;ENGENHARIA DE SOFTWARE;Q1;DIURNO;4;GORDANA MANIC;NOTURNO;18;NENHUM
G;DAMCTA037-17SA;BANCO DE DADOS;Q3;DIURNO;4;LUIZ ROZANTE;NEGOCI·VEL;18;Q1
G;NA1MCTA037-17SA;BANCO DE DADOS;Q3;NOTURNO;2;CESAR GIACOMINI PENTEADO;NEGOCI·VEL;18;Q3
G;NAMCTA037-17SA;BANCO DE DADOS;Q3;NOTURNO;2;RONALDO;NEGOCI·VEL;18;Q1
G;DA1MCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;DIURNO;2;MARIO LESTON REY;NEGOCI·VEL;18;Q3
G;DAMCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;DIURNO;2;VALÈRIO RAMOS BATISTA;DIURNO;18;NENHUM
G;NA1MCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;NOTURNO;2;SILVIA DOTTA;NEGOCI·VEL;18;Q1
G;NAMCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;NOTURNO;2;RONALDO;NEGOCI·VEL;18;Q1
G;DAMCTA009-13SA;COMPUTADORES, …TICA E SOCIEDADE;Q2;DIURNO;2;JAIR DONADELLI;NEGOCI·VEL;18;Q2
G;NAMCTA009-13SA;COMPUTADORES, …TICA E SOCIEDADE;Q2;NOTURNO;2;HARLEN COSTA BATAGELO;NOTURNO;18;Q2
G;DAMCZA015-13SA;MINERAÁ„O DE DADOS;Q2;DIURNO;4;FRANCISCO ISIDRO MASSETTO;DIURNO;18;Q3
G;DA1MCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;DIURNO;1;CESAR GIACOMINI PENTEADO;NEGOCI·VEL;18;Q3
G;NA1MCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;NOTURNO;1;MARIO LESTON REY;NEGOCI·VEL;18;Q3
G;NAMCZA006-17SA;COMPUTAÁ„O EVOLUTIVA E CONEXIONISTA;Q2;NOTURNO;4;RAPHAEL YOKOINGAWA DE CAMARGO;DIURNO;18;Q2
G;NAMCZA047-14SA;SISTEMAS MULTI-ROBÙS SOCIAIS;Q3;NOTURNO;4;RONALDO;NEGOCI·VEL;18;Q1
 
Infeasible;-1
